date_id,month_name,month_num,day_name,day_num,date,year,week_of_year,week_of_month
117,April,4,Monday,2,2020-04-27,2020,18,5
118,April,4,Tuesday,3,2020-04-28,2020,18,5
119,April,4,Wednesday,4,2020-04-29,2020,18,5
120,April,4,Thursday,5,2020-04-30,2020,18,5
121,May,5,Friday,6,2020-05-01,2020,18,1
122,May,5,Saturday,7,2020-05-02,2020,18,1
123,May,5,Sunday,1,2020-05-03,2020,19,2
124,May,5,Monday,2,2020-05-04,2020,19,2
125,May,5,Tuesday,3,2020-05-05,2020,19,2
126,May,5,Wednesday,4,2020-05-06,2020,19,2
127,May,5,Thursday,5,2020-05-07,2020,19,2
128,May,5,Friday,6,2020-05-08,2020,19,2
129,May,5,Saturday,7,2020-05-09,2020,19,2
130,May,5,Sunday,1,2020-05-10,2020,20,3
131,May,5,Monday,2,2020-05-11,2020,20,3
132,May,5,Tuesday,3,2020-05-12,2020,20,3
133,May,5,Wednesday,4,2020-05-13,2020,20,3
134,May,5,Thursday,5,2020-05-14,2020,20,3
135,May,5,Friday,6,2020-05-15,2020,20,3
136,May,5,Saturday,7,2020-05-16,2020,20,3
137,May,5,Sunday,1,2020-05-17,2020,21,4
138,May,5,Monday,2,2020-05-18,2020,21,4
139,May,5,Tuesday,3,2020-05-19,2020,21,4
140,May,5,Wednesday,4,2020-05-20,2020,21,4
141,May,5,Thursday,5,2020-05-21,2020,21,4
142,May,5,Friday,6,2020-05-22,2020,21,4
143,May,5,Saturday,7,2020-05-23,2020,21,4
144,May,5,Sunday,1,2020-05-24,2020,22,5
145,May,5,Monday,2,2020-05-25,2020,22,5
146,May,5,Tuesday,3,2020-05-26,2020,22,5
147,May,5,Wednesday,4,2020-05-27,2020,22,5
148,May,5,Thursday,5,2020-05-28,2020,22,5
149,May,5,Friday,6,2020-05-29,2020,22,5
150,May,5,Saturday,7,2020-05-30,2020,22,5
151,May,5,Sunday,1,2020-05-31,2020,23,6
152,June,6,Monday,2,2020-06-01,2020,23,1
153,June,6,Tuesday,3,2020-06-02,2020,23,1
154,June,6,Wednesday,4,2020-06-03,2020,23,1
155,June,6,Thursday,5,2020-06-04,2020,23,1
156,June,6,Friday,6,2020-06-05,2020,23,1
157,June,6,Saturday,7,2020-06-06,2020,23,1
158,June,6,Sunday,1,2020-06-07,2020,24,2
159,June,6,Monday,2,2020-06-08,2020,24,2
160,June,6,Tuesday,3,2020-06-09,2020,24,2
161,June,6,Wednesday,4,2020-06-10,2020,24,2
162,June,6,Thursday,5,2020-06-11,2020,24,2
163,June,6,Friday,6,2020-06-12,2020,24,2
164,June,6,Saturday,7,2020-06-13,2020,24,2
165,June,6,Sunday,1,2020-06-14,2020,25,3
166,June,6,Monday,2,2020-06-15,2020,25,3
167,June,6,Tuesday,3,2020-06-16,2020,25,3
168,June,6,Wednesday,4,2020-06-17,2020,25,3
169,June,6,Thursday,5,2020-06-18,2020,25,3
170,June,6,Friday,6,2020-06-19,2020,25,3
171,June,6,Saturday,7,2020-06-20,2020,25,3
172,June,6,Sunday,1,2020-06-21,2020,26,4
173,June,6,Monday,2,2020-06-22,2020,26,4
174,June,6,Tuesday,3,2020-06-23,2020,26,4
175,June,6,Wednesday,4,2020-06-24,2020,26,4
176,June,6,Thursday,5,2020-06-25,2020,26,4
177,June,6,Friday,6,2020-06-26,2020,26,4
178,June,6,Saturday,7,2020-06-27,2020,26,4
179,June,6,Sunday,1,2020-06-28,2020,27,5
180,June,6,Monday,2,2020-06-29,2020,27,5
181,June,6,Tuesday,3,2020-06-30,2020,27,5
182,July,7,Wednesday,4,2020-07-01,2020,27,1
183,July,7,Thursday,5,2020-07-02,2020,27,1
184,July,7,Friday,6,2020-07-03,2020,27,1
185,July,7,Saturday,7,2020-07-04,2020,27,1
186,July,7,Sunday,1,2020-07-05,2020,28,2
187,July,7,Monday,2,2020-07-06,2020,28,2
188,July,7,Tuesday,3,2020-07-07,2020,28,2
189,July,7,Wednesday,4,2020-07-08,2020,28,2
190,July,7,Thursday,5,2020-07-09,2020,28,2
191,July,7,Friday,6,2020-07-10,2020,28,2
192,July,7,Saturday,7,2020-07-11,2020,28,2
193,July,7,Sunday,1,2020-07-12,2020,29,3
194,July,7,Monday,2,2020-07-13,2020,29,3
195,July,7,Tuesday,3,2020-07-14,2020,29,3
196,July,7,Wednesday,4,2020-07-15,2020,29,3
197,July,7,Thursday,5,2020-07-16,2020,29,3
198,July,7,Friday,6,2020-07-17,2020,29,3
199,July,7,Saturday,7,2020-07-18,2020,29,3
200,July,7,Sunday,1,2020-07-19,2020,30,4
201,July,7,Monday,2,2020-07-20,2020,30,4
202,July,7,Tuesday,3,2020-07-21,2020,30,4
203,July,7,Wednesday,4,2020-07-22,2020,30,4
204,July,7,Thursday,5,2020-07-23,2020,30,4
205,July,7,Friday,6,2020-07-24,2020,30,4
206,July,7,Saturday,7,2020-07-25,2020,30,4
207,July,7,Sunday,1,2020-07-26,2020,31,5
208,July,7,Monday,2,2020-07-27,2020,31,5
209,July,7,Tuesday,3,2020-07-28,2020,31,5
210,July,7,Wednesday,4,2020-07-29,2020,31,5
211,July,7,Thursday,5,2020-07-30,2020,31,5
212,July,7,Friday,6,2020-07-31,2020,31,5
213,August,8,Saturday,7,2020-08-01,2020,31,1
214,August,8,Sunday,1,2020-08-02,2020,32,2
215,August,8,Monday,2,2020-08-03,2020,32,2
216,August,8,Tuesday,3,2020-08-04,2020,32,2
217,August,8,Wednesday,4,2020-08-05,2020,32,2
218,August,8,Thursday,5,2020-08-06,2020,32,2
219,August,8,Friday,6,2020-08-07,2020,32,2
220,August,8,Saturday,7,2020-08-08,2020,32,2
221,August,8,Sunday,1,2020-08-09,2020,33,3
222,August,8,Monday,2,2020-08-10,2020,33,3
223,August,8,Tuesday,3,2020-08-11,2020,33,3
224,August,8,Wednesday,4,2020-08-12,2020,33,3
225,August,8,Thursday,5,2020-08-13,2020,33,3
226,August,8,Friday,6,2020-08-14,2020,33,3
227,August,8,Saturday,7,2020-08-15,2020,33,3
228,August,8,Sunday,1,2020-08-16,2020,34,4
229,August,8,Monday,2,2020-08-17,2020,34,4
230,August,8,Tuesday,3,2020-08-18,2020,34,4
231,August,8,Wednesday,4,2020-08-19,2020,34,4
232,August,8,Thursday,5,2020-08-20,2020,34,4
233,August,8,Friday,6,2020-08-21,2020,34,4
234,August,8,Saturday,7,2020-08-22,2020,34,4
235,August,8,Sunday,1,2020-08-23,2020,35,5
236,August,8,Monday,2,2020-08-24,2020,35,5
237,August,8,Tuesday,3,2020-08-25,2020,35,5
238,August,8,Wednesday,4,2020-08-26,2020,35,5
239,August,8,Thursday,5,2020-08-27,2020,35,5
240,August,8,Friday,6,2020-08-28,2020,35,5
241,August,8,Saturday,7,2020-08-29,2020,35,5
242,August,8,Sunday,1,2020-08-30,2020,36,6
243,August,8,Monday,2,2020-08-31,2020,36,6
244,September,9,Tuesday,3,2020-09-01,2020,36,1
245,September,9,Wednesday,4,2020-09-02,2020,36,1
246,September,9,Thursday,5,2020-09-03,2020,36,1
247,September,9,Friday,6,2020-09-04,2020,36,1
248,September,9,Saturday,7,2020-09-05,2020,36,1
249,September,9,Sunday,1,2020-09-06,2020,37,2
250,September,9,Monday,2,2020-09-07,2020,37,2
251,September,9,Tuesday,3,2020-09-08,2020,37,2
252,September,9,Wednesday,4,2020-09-09,2020,37,2
253,September,9,Thursday,5,2020-09-10,2020,37,2
254,September,9,Friday,6,2020-09-11,2020,37,2
255,September,9,Saturday,7,2020-09-12,2020,37,2
256,September,9,Sunday,1,2020-09-13,2020,38,3
257,September,9,Monday,2,2020-09-14,2020,38,3
258,September,9,Tuesday,3,2020-09-15,2020,38,3
259,September,9,Wednesday,4,2020-09-16,2020,38,3
260,September,9,Thursday,5,2020-09-17,2020,38,3
261,September,9,Friday,6,2020-09-18,2020,38,3
262,September,9,Saturday,7,2020-09-19,2020,38,3
263,September,9,Sunday,1,2020-09-20,2020,39,4
264,September,9,Monday,2,2020-09-21,2020,39,4
265,September,9,Tuesday,3,2020-09-22,2020,39,4
266,September,9,Wednesday,4,2020-09-23,2020,39,4
267,September,9,Thursday,5,2020-09-24,2020,39,4
268,September,9,Friday,6,2020-09-25,2020,39,4
269,September,9,Saturday,7,2020-09-26,2020,39,4
270,September,9,Sunday,1,2020-09-27,2020,40,5
271,September,9,Monday,2,2020-09-28,2020,40,5
272,September,9,Tuesday,3,2020-09-29,2020,40,5
273,September,9,Wednesday,4,2020-09-30,2020,40,5
274,October,10,Thursday,5,2020-10-01,2020,40,1
275,October,10,Friday,6,2020-10-02,2020,40,1
276,October,10,Saturday,7,2020-10-03,2020,40,1
277,October,10,Sunday,1,2020-10-04,2020,41,2
278,October,10,Monday,2,2020-10-05,2020,41,2
279,October,10,Tuesday,3,2020-10-06,2020,41,2
280,October,10,Wednesday,4,2020-10-07,2020,41,2
281,October,10,Thursday,5,2020-10-08,2020,41,2
282,October,10,Friday,6,2020-10-09,2020,41,2
283,October,10,Saturday,7,2020-10-10,2020,41,2
284,October,10,Sunday,1,2020-10-11,2020,42,3
285,October,10,Monday,2,2020-10-12,2020,42,3
286,October,10,Tuesday,3,2020-10-13,2020,42,3
287,October,10,Wednesday,4,2020-10-14,2020,42,3
